procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 KST
 3  0      0 12988684   4424 1678308    0    0 15143  8155   14    1  6  6 88  0  0 2018-10-29 17:45:04
 1  0      0 13000916   4424 1666240    0    0     0     0 1825 9377  5  1 93  0  0 2018-10-29 17:45:05
 2  0      0 13000832   4424 1666240    0    0     0     0 1936 9145  5  2 93  0  0 2018-10-29 17:45:06
 1  0      0 13000804   4424 1666244    0    0     0     0 2209 8831  5  2 93  0  0 2018-10-29 17:45:07
 1  0      0 13000812   4424 1666244    0    0     0     0 1979 9634  5  2 93  0  0 2018-10-29 17:45:08
 1  0      0 13000656   4424 1666244    0    0     0     0 1957 9606  6  1 93  0  0 2018-10-29 17:45:09
 1  0      0 13000692   4424 1666248    0    0     0     0 2060 9465  5  1 93  0  0 2018-10-29 17:45:10
 2  0      0 12586516   4424 2077816    0    0 13728 18740 13544 18179  8  7 86  0  0 2018-10-29 17:45:11
 1  0      0 12586428   4424 2077888    0    0 41160 46564 31067 26118  7  3 90  0  0 2018-10-29 17:45:12
 3  0      0 12586428   4424 2077904    0    0 163840 113016 94551 26102  9  8 83  0  0 2018-10-29 17:45:13
 3  0      0 12586604   4424 2077904    0    0 568800 305600 297885 20602 15 18 68  0  0 2018-10-29 17:45:14
