procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 KST
 2  0      0 13600732   2272 1490908    0    0 554569 298878 289100 27022 11 17 72  0  0 2018-10-26 16:07:22
 2  0      0 13600732   2272 1490908    0    0 551685 296972 287454 27648 11 17 72  0  0 2018-10-26 16:07:32
 1  0      0 13600620   2272 1490912    0    0 550202 295640 286508 28900 11 17 71  0  0 2018-10-26 16:07:42
 2  0      0 13600620   2272 1490924    0    0 544490 293231 283731 31012 11 17 72  0  0 2018-10-26 16:07:52
 2  0      0 13600416   2272 1491044    0    0 544975 292485 283552 30804 11 17 72  0  0 2018-10-26 16:08:02
 2  0      0 13600584   2272 1491048    0    0 545762 294423 284662 30408 11 17 72  0  0 2018-10-26 16:08:12
 1  0      0 13600528   2272 1491080    0    0 544360 293612 284095 31607 11 17 72  0  0 2018-10-26 16:08:22
 3  0      0 13600528   2272 1491084    0    0 543657 292838 283117 30980 11 17 73  0  0 2018-10-26 16:08:32
 2  0      0 13600528   2272 1491084    0    0 540072 290681 281097 35586 11 17 73  0  0 2018-10-26 16:08:42
 2  0      0 13600500   2272 1491100    0    0 534621 287764 278497 34869 11 16 73  0  0 2018-10-26 16:08:52
 2  0      0 13600196   2272 1491132    0    0 535090 288166 278862 35831 11 17 73  0  0 2018-10-26 16:09:02
 2  0      0 13600424   2272 1491068    0    0 531464 287023 277142 35792 10 17 73  0  0 2018-10-26 16:09:12
 2  0      0 13600476   2272 1491072    0    0 531681 286287 276895 37037 11 16 73  0  0 2018-10-26 16:09:22
 1  0      0 13600476   2272 1491076    0    0 532325 286612 277273 36784 11 16 73  0  0 2018-10-26 16:09:32
 2  0      0 13600476   2272 1491080    0    0 526126 282946 273877 38313 11 16 73  0  0 2018-10-26 16:09:42
 1  0      0 13600448   2272 1491096    0    0 528864 284614 275390 37404 11 16 73  0  0 2018-10-26 16:09:52
 2  0      0 13600504   2272 1490964    0    0 524270 281918 272922 39441 10 16 73  0  0 2018-10-26 16:10:02
 2  0      0 13600816   2272 1490912    0    0 523097 281549 272421 40992 10 16 73  0  0 2018-10-26 16:10:12
 2  0      0 13600740   2272 1490956    0    0 522004 281692 272217 40417 11 16 73  0  0 2018-10-26 16:10:22
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 KST
 2  0      0 13600740   2272 1490960    0    0 522788 281398 272277 40744 10 16 73  0  0 2018-10-26 16:10:32
 2  0      0 13600740   2272 1490960    0    0 516528 278004 268972 42707 10 16 74  0  0 2018-10-26 16:10:42
 2  0      0 13600684   2272 1491052    0    0 517221 278617 269491 42238 10 16 74  0  0 2018-10-26 16:10:52
 1  0      0 13600116   2272 1491128    0    0 516825 277976 269062 43018 10 16 74  0  0 2018-10-26 16:11:02
 2  0      0 13600368   2272 1491132    0    0 511281 275214 266424 44815 10 16 74  0  0 2018-10-26 16:11:12
 3  0      0 13600396   2272 1491168    0    0 512055 275078 266398 45379 10 16 74  0  0 2018-10-26 16:11:22
 0  0      0 13600312   2272 1491124    0    0 511518 275685 266511 44513 10 16 74  0  0 2018-10-26 16:11:32
 2  0      0 13600312   2272 1491124    0    0 507842 273198 264100 47354 10 16 74  0  0 2018-10-26 16:11:42
 1  0      0 13600312   2272 1491144    0    0 506563 273290 264108 48186 10 16 74  0  0 2018-10-26 16:11:52
 3  0      0 13600052   2272 1491152    0    0 504845 271548 262774 46239 10 16 74  0  0 2018-10-26 16:12:02
 2  0      0 13600332   2272 1491152    0    0 501400 269723 261073 48475 10 15 74  0  0 2018-10-26 16:12:12
 2  0      0 13600332   2272 1491184    0    0 500429 269995 260894 49390 10 16 74  0  0 2018-10-26 16:12:22
 2  0      0 13600332   2272 1491184    0    0 499512 269176 260281 49763 10 15 74  0  0 2018-10-26 16:12:32
 2  0      0 13600332   2272 1491188    0    0 500657 269977 260943 50430 10 15 74  0  0 2018-10-26 16:12:42
 2  0      0 13600304   2272 1491204    0    0 497210 267702 258887 51688 10 15 75  0  0 2018-10-26 16:12:52
 1  0      0 13600320   2272 1491128    0    0 494062 266587 257564 52523 10 15 74  0  0 2018-10-26 16:13:02
 2  0      0 13600320   2272 1491092    0    0 492712 265333 256647 52265 10 15 75  0  0 2018-10-26 16:13:12
 2  0      0 13600348   2272 1491120    0    0 494894 266119 257524 51706 10 15 75  0  0 2018-10-26 16:13:22
 2  0      0 13600348   2272 1491124    0    0 490740 263448 255088 53441 10 15 75  0  0 2018-10-26 16:13:32
 1  0      0 13600348   2272 1491124    0    0 486473 262608 253754 53260 10 15 75  0  0 2018-10-26 16:13:42
 2  0      0 13600348   2272 1491136    0    0 486844 262552 253729 53779 10 15 75  0  0 2018-10-26 16:13:52
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 KST
 2  0      0 13600132   2272 1491096    0    0 484968 260614 252258 55447 10 15 75  0  0 2018-10-26 16:14:02
 2  0      0 13600356   2272 1491108    0    0 484456 260788 252217 54065 10 15 75  0  0 2018-10-26 16:14:12
 2  0      0 13600360   2272 1491108    0    0 483604 260487 251844 53674 10 15 75  0  0 2018-10-26 16:14:22
 3  0      0 13600360   2272 1491112    0    0 480506 258422 249980 55725 10 15 75  0  0 2018-10-26 16:14:32
 2  0      0 13600360   2272 1491112    0    0 479908 258658 250020 54681 10 15 75  0  0 2018-10-26 16:14:42
 2  0      0 13600360   2272 1491128    0    0 479109 257732 249229 56619 10 15 75  0  0 2018-10-26 16:14:52
 1  0      0 13600048   2272 1491264    0    0 477275 257397 248777 57023 10 15 75  0  0 2018-10-26 16:15:02
 0  0      0 13600160   2272 1491272    0    0 475064 256307 247688 56876 10 15 75  0  0 2018-10-26 16:15:12
 2  0      0 13600100   2272 1491404    0    0 475703 255913 247547 58872 10 15 75  0  0 2018-10-26 16:15:22
 3  0      0 13600196   2272 1491308    0    0 475287 256422 247695 58398 10 15 76  0  0 2018-10-26 16:15:32
 1  0      0 13600196   2272 1491308    0    0 472680 255337 246503 56675 10 15 75  0  0 2018-10-26 16:15:42
 2  0      0 13600156   2272 1491324    0    0 470268 253268 244851 56486 10 15 76  0  0 2018-10-26 16:15:52
 2  0      0 13599544   2272 1491452    0    0 465577 250656 242366 57152 10 15 76  0  0 2018-10-26 16:16:02
 2  0      0 13600284   2272 1491208    0    0 465300 250627 242404 55723 10 15 76  0  0 2018-10-26 16:16:12
 2  0      0 13600284   2272 1491184    0    0 464934 250822 242460 57782 10 15 76  0  0 2018-10-26 16:16:22
 2  0      0 13600284   2272 1491184    0    0 468592 252206 243841 56392 10 15 76  0  0 2018-10-26 16:16:32
 2  0      0 13600284   2272 1491188    0    0 466187 251037 242665 58556 10 14 76  0  0 2018-10-26 16:16:42
 1  0      0 13600296   2272 1491164    0    0 462050 249022 240892 58610 10 14 76  0  0 2018-10-26 16:16:52
 2  0      0 13600044   2272 1491136    0    0 460695 248408 240037 60184 10 15 76  0  0 2018-10-26 16:17:02
 2  0      0 13600232   2272 1491084    0    0 458732 247382 239099 62332 10 14 76  0  0 2018-10-26 16:17:12
 2  0      0 13600328   2272 1491080    0    0 458715 246666 238728 61814 10 14 76  0  0 2018-10-26 16:17:22
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 KST
 2  0      0 13600328   2272 1491084    0    0 461038 248209 240206 61293  9 15 76  0  0 2018-10-26 16:17:32
 2  0      0 13600188   2272 1491084    0    0 457164 245368 237769 62405 10 14 75  0  0 2018-10-26 16:17:42
 1  0      0 13600216   2272 1491104    0    0 452573 243821 235753 61015  9 14 76  0  0 2018-10-26 16:17:52
 1  0      0 13599712   2272 1491072    0    0 451430 243606 235460 63067  9 14 76  0  0 2018-10-26 16:18:02
 2  0      0 13600376   2272 1490956    0    0 449754 241976 234150 60009 10 14 76  0  0 2018-10-26 16:18:12
 3  0      0 13600464   2272 1490952    0    0 450596 243018 234834 58916  9 15 76  0  0 2018-10-26 16:18:22
 3  0      0 13600464   2272 1490952    0    0 453057 243592 235666 59261  9 14 76  0  0 2018-10-26 16:18:32
 2  0      0 13600464   2272 1490956    0    0 454003 244351 236288 63639 10 14 76  0  0 2018-10-26 16:18:42
 1  0      0 13600464   2272 1490968    0    0 448869 241623 233704 63402 10 14 76  0  0 2018-10-26 16:18:52
 3  0      0 13600212   2272 1491128    0    0 446476 240491 232781 64175  9 14 76  0  0 2018-10-26 16:19:02
 0  0      0 13600324   2272 1491148    0    0 445031 239772 231857 62984  9 14 76  0  0 2018-10-26 16:19:12
 2  0      0 13600268   2272 1491180    0    0 442878 238332 230560 62668  9 14 76  0  0 2018-10-26 16:19:22
 2  0      0 13600268   2272 1491180    0    0 443206 238752 230819 64233  9 14 77  0  0 2018-10-26 16:19:32
 2  0      0 13600268   2272 1491184    0    0 443600 238346 230880 65344  9 14 77  0  0 2018-10-26 16:19:42
 2  0      0 13600268   2272 1491204    0    0 443695 239462 231295 65619  9 14 77  0  0 2018-10-26 16:19:52
